id,repository_id/id,server_id/id
server_repo_01,inf_repo_git_odoo_argentina,inf_server_srv01
server_repo_02,inf_repo_git_odoo_odoo,inf_server_srv01
server_repo_03,inf_repo_git_adhoc_addons,inf_server_srv01
server_repo_04,inf_repo_git_odoo_saas_mgr,inf_server_srv01
server_repo_05,inf_repo_git_odoo_logistic,inf_server_srv01
server_repo_06,inf_repo_git_odoo_academic,inf_server_srv01
server_repo_07,inf_repo_git_odoo_infrastructure,inf_server_srv01
server_repo_08,inf_repo_git_odoo_law_tracking,inf_server_srv01
server_repo_09,inf_repo_git_odoo_etl,inf_server_srv01
server_repo_10,inf_repo_git_odoo_personalizations,inf_server_srv01
